code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;;SOUS-PAPES 1RZ;1;40;40
;;SOUS-PAPES 1RZ;1;40;40
;;SOUS-PAPES 1RZ;1;40;40
;;SOUS-PAPES 1RZ;1;40;40
;;JOINT DE CULASSE 1HZ L/C  METAL;1;20;20
;;COLLE HERMETIC TUBE;1;4;4
;;COLLE HERMETIC TUBE;1;4;4
;;COLLE HERMETIC TUBE;1;4;4
;;COLLE HERMETIC TUBE;1;4;4
;14/02/2022;COLLE HERMETIC TUBE;1;4;4
;;COLLE HERMETIC TUBE;1;4;4
;;FILTRE A HUILE VANETTE;1;2;2
;;FILTRE A HUILE VANETTE;1;2;2
;;FILTRE A HUILE VANETTE;1;2;2
;;COUSSINETS BIELLE 1RZ 0.25;1;17;0
;;COUSSINETS BIELLE 1RZ 0.25;1;17;0
;;COUSSINETS BIELLE 1RZ 0.25;1;17;0
;;COUSSINETS BIELLE 1RZ 0.25;1;17;0
;;PLAQUETTE COROLLA (113K);1;6;6
;15/02/2022;PLAQUETTE COROLLA (113K);1;6;6
;;PLAQUETTE COROLLA (113K);1;6;6
;;SUPPORT MOTEUR L/C;1;10;10
;;BOURRAGE SEMI-AXE STAUT, DYNA;2;0;0
;;BOURRAGES VILBREQUIN AR 1RZ;1;4;4
;;COUPELLES D'EMBRAYAGE SUPERIEUR STAUT;1;0;0
;;COUPELLES D'EMBRAYAGE SUPERIEUR STAUT;1;0;0
;;COUPELLES D'EMBRAYAGE SUPERIEUR STAUT;1;0;0
;;CTC RESSORT AR L/C;13;0;0
;;CTC RESSORT AR L/C;13;0;0
;;CTC RESSORT AR L/C;13;0;0
;16/02/2022;CTC RESSORT AR L/C;13;0;0
;;CTC RESSORT AR L/C;13;0;0
;;CTC RESSORT AV L/C;8;12;96
;;CTC RESSORT AV L/C;8;12;96
;;CTC RESSORT AV L/C;8;12;96
;;CONTRE-TONE AR L/C (GRND);1;15;15
;;CTC RESSORT AR L/C;20;0;0
;;PLAQUETTE SUZUKI;1;15;15
;;FILTRE A HUILE NISSAN;3;5;15
;;JOINT DE CULASSE G13;1;10;10
;;JOINT DE CULASSE G13;1;10;10
;;JOINT DE CULASSE G13;1;10;10
;17/02/2022;BOUGIE DENSO 16 CRAYON (4PCS);1;4;4
;;BOUGIE DENSO 16 CRAYON (4PCS);1;4;4
;;BOUGIE DENSO 16 CRAYON (4PCS);1;4;4
;;ROTULE SUPERIEURE HIACE;1;8;8
;;CHAINE TENDEUR 1RZ/2RZ;1;20;20
;;CHAINE TENDEUR 1RZ/2RZ;1;20;20
;;POMPE A ESSENCE RIKA (GRDS);1;25;25
;18/02/2022;FILTRE A HUILE SUZUKI;1;5;5
;;FILTRE A HUILE SUZUKI;1;5;5
;;AMORTISSEUR AR RAV4 AM 343271;2;15;30
;;AMORTISSEUR AR SUZUKI;2;18;36
;;AMORTISSEUR AR SUZUKI;2;18;36
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;COUSSINETS BIELLE 1RZ STD;1;15;15
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;RETIEN D'HUILE 1RZ;1;5;5
;;RETIEN D'HUILE 1RZ;1;5;5
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;SPOTLIGHT 12V;2;10;20
;;TETE DE TRANSMISSION 23 DENTS;1;11;11
;;FILTRE A GASOIL FUSO;1;4;4
;;CHAINES TENDEURS 1TR;1;20;20
;;FILTRE A HUILE CARTON 38010;1;5;5
;21/02/2022;PHARE ROND 12V L/C STAUT;2;20;40
;;POMPE A ESSENCE RIKA (GRDS);1;30;30
;;SUPPORT MOTEUR L/C;1;20;20
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;SEGMENTS TP 5AF;1;40;40
;;FILTRE A HUILE SUZUKI;1;10;10
;;FILTRE A HUILE SUZUKI;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;22/02/2022;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;BOURRAGE SEMI-AXE STAUT, DYNA;1;0;0
;;FILTRE A HUILE VANETTE;1;3;3
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;23/02/2022;JOINT DE CULASSE 5AF;1;5;5
;;COLLE HERMETIC TUBE;1;3;3
;;COUSSINETS BIELLE 1RZ STD;1;15;15
;;AMORTISSEUR AR L/C AM E3375;2;15;30
;;COLLE HERMETIC TUBE;1;4;4
;;POMPE A HUILE 1RZ;1;100;100
;;ALTERNATEUR FUSO;1;115;115
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;24/02/2022;SUPPORT CADRAN HIACE;1;25;25
;;COUSSINETS PALIER 1RZ 0.50;1;20;20
;;FILTRE A HUILE CANTER;1;5;5
;;SEGMENTS TP 1NZ;1;60;60
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;RETIEN D'HUILE 1NZ;1;5;5
;25/02/2022;RETIEN D'HUILE 1NZ;1;5;5
;;COUSSINETS BIELLE 1RZ STD;1;15;15
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;3;3
;26/02/2022;COUPELLES D'EMBAYAGE SUPER 1RZ;1;3;3
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;3;3
;;TETE DE TRANSMISSION 23 DENTS;2;10;20
;;TETE DE TRANSMISSION 23 DENTS;2;10;20
;;SOUS-PAPES 1RZ;1;35;35
;;DISQUE D'EMBRAYAGE MAZDA/VANETTE 23 DENTS;1;15;15
;;DISQUE D'EMBRAYAGE MAZDA/VANETTE 23 DENTS;1;15;15
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;FILTRE A HUILE HIACE;1;3;3
;28/02/2022;FILTRE A HUILE HIACE;1;3;3
;;COUPELLES D'EMBAYAGE SUPER 1RZ;1;3;3
;;AMORTISSEUR AR L/C NM;2;23;46
;;AMORTISSEUR AR L/C NM;2;23;46
;;AMORTISSEUR AR L/C NM;2;23;46
;;SEGMENTS TP 5AF;1;60;60
;;SEGMENTS TP 5AF;1;60;60
;;JOINT DE CULASSE 4G64;1;10;10
;;COUPELLES D'EMBAYAGE SUPER 1RZ;2;6;12
;01/03/2022;TETE DE TRANSMISSION 23 DENTS;2;12;24
;;JOINT DE CULASSE F8;1;5;5
;;COUPELLES D'EMBAYGE SUPER 5R;1;3;3
;;COUPELLES D'EMBRAYAGE SUPERIEUR SEIKEN ORG;1;5;5
;;AMORTISSEUR AR RAV4 AM 343271;2;18;36
;;CONTRE-TONE RAV4;2;15;30
;;ROTULE CENTRALE RAV4 (394K);2;8;16
;;COUPELLES D'EMBRAYAGE SUPERIEUR STAUT;2;4;8
;;COUPELLES D'EMBRAYAGE SUPERIEUR STAUT;2;4;8
;;COUPELLES D'EMBRAYAGE SUPERIEUR STAUT;2;4;8
;;TETE DE TRANSMISSION HLX/L.C.;1;20;20
;;COUPELLES D'EMBRAYAGE SUPERIEUR SEIKEN ORG;1;10;10
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;30;30
;02/03/2022;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;30;30
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;30;30
;;KIT FREIN L/C 3D05;1;10;10
;;KIT FREIN L/C 3D05;1;10;10
;03/03/2022;POMPE A ESSENCE RIKA (GRDS);1;25;25
;;DECANTEUR COROLLA/CIKUMI/CARINA;1;5;5
;;FILTRE A GASOIL FUSO;1;8;8
;;FILTRE A GASOIL FUSO;1;8;8
;;FILTRE A GASOIL FUSO;1;8;8
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;ROTULE SUPERIEURE HIACE;3;8;24
;;TRIANGLE SUPERIEURS HIACE DROITE (R);1;45;45
;;TRIANGLE SUPERIEURS HIACE DROITE (R);1;45;45
;;FILTRE A HUILE SUZUKI;1;5;5
;;JOINT DE CULASSE 4G64;1;10;10
;;BOURRAGE SEMI-AXE STAUT, DYNA;1;5;5
;04/03/2022;BOURRAGES VILBREQUIN AV 1RZ;1;3;3
;;FILTRE A HUILE NISSAN;2;5;10
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;AMORTISSEUR AV L/C AM E3375;2;25;50
;;AMORTISSEUR AV L/C AM E3375;2;25;50
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 90 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;12;9,67;116,04
;;FILTRE A HUILE HIACE;1;3;3
;;BATTERIE 70 AMP;1;95;95
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;HUILE CITROL SAE 50 5L;90;9,67;870,3
;;HUILE CITROL SAE 40 5L;90;9,67;870,3
;;HUILE CITROL SAE 50 5L;12;9,67;116,04
;;HUILE HYDRAULIC 1L;60;1,91;114,6
;05/03/2022;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 40 5L;1;9,67;9,67
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE HYDRAULIC 1L;24;1,91;45,84
;;HUILE HYDRAULIC 1L;12;1,91;22,92
;;BATTERIE 50 AMP;1;75;75
;;HUILE HYDRAULIC 1L;12;1,91;22,92
;;HUILE HYDRAULIC 1L;12;1,91;22,92
;;HUILE HYDRAULIC 1L;12;1,91;22,92
;;HUILE HYDRAULIC 1L;12;1,91;22,92
;;HUILE DE FREIN ORDINAIRE;24;0,66;15,84
;;HUILE CITROL SAE 50 5L;12;9,67;116,04
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PNEU 185 R14 VANETTE;1;65;65
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;DISQUE D'EMBRAYAGE MAZDA/VANETTE 23 DENTS;1;20;20
;;PNEU 185 R14 VANETTE;1;63;63
;07/03/2022;PNEU 185 R14 VANETTE;1;63;63
;;PNEU 185 R14 VANETTE;1;63;63
;;HUILE CITROL SAE 90 5L;6;9,67;58,02
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;4;23;92
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;08/03/2022;BATTERIE 50 AMP;1;75;75
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;HUILE HYDRAULIC 1L;6;2;12
;;PNEU 185 R14 VANETTE;4;65;260
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;CONTRE-TONE AR L/C (GRND);2;15;30
;;HUILE CITROL SAE 50 5L;6;9;54
;;HUILE CITROL SAE 50 5L;6;9;54
;;PNEU 185 R14 VANETTE;1;65;65
;;ROTULE RAV4;1;9;9
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;HUILE HYDRAULIC 1L;72;1;72
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;09/03/2022;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE HYDRAULIC 1L;24;1;24
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CITROL SAE 140 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;1;9,67;9,67
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;10/03/2022;HUILE CITROL SAE 140 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;SEGMENTS TP 5AF;1;50;50
;;SEGMENTS TP 5AF;1;50;50
;;SEGMENTS TP 5AF;1;50;50
;;AMORTISSEUR AR L/C NM;2;17,5;35
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;PNEU 175/70 R13 CIKUMI;1;38;38
;;PNEU 175/70 R13 CIKUMI;1;38;38
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;11/03/2022;HUILE HYDRAULIC 1L;48;1;48
;;GRAISSE SEAUX;1;37;37
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;CHAINE TENDEUR 1RZ/2RZ;2;20;40
;;AMORTISSEUR AV RAV4 AM ;2;25;50
;;CHAINE TENDEUR 3Y;1;20;20
;;HUILE HYDRAULIC 1L;48;1;48
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;GRAISSE SEAUX;1;36;36
;;PNEU 185 R14 VANETTE;1;65;65
;;PNEU 185 R14 VANETTE;1;65;65
;;PNEU 185 R14 VANETTE;1;65;65
;;BATTERIE 70 AMP;1;95;95
;;HUILE CITROL SAE 40 1L;6;4,83;28,98
;;HUILE CITROL SAE 50 5L;3;9,66;28,98
;;HUILE CITROL SAE 50 5L;3;9,66;28,98
;;HUILE DE FREIN ORDINAIRE;1;1;1
;12/03/2022;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;12;9,67;116,04
;;VOLANT MOTEUR HIACE;1;100;100
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;COUSSINETS BIELLE 2L, 3L, 5L;1;25;25
;;COUSSINETS BIELLE 2L, 3L, 5L;1;25;25
;;CONTRE-TONE RAV4;1;20;20
;;CTC AMORTISSEURS AV;4;2;8
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;PNEU 185 R14 VANETTE;1;65;65
;;BATTERIE 45 AMP;1;65;65
;14/03/2022;SEGMENTS ORG HIACE 1RZ;1;110;110
;;COUSSINETS BIELLE 1RZ STD;1;15;15
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;FILTRE A HUILE HIACE;1;3;3
;;FILTRE A HUILE HIACE;1;3;3
;;JOINT DE CULASSE F8;5;4;20
;;JOINT DE CULASSE F8;5;4;20
;;RETROVISEUR DYNA PTS;1;8;8
;;PNEU 185 R14 VANETTE;1;65;65
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;12;9,67;116,04
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;12;9,67;116,04
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;15/03/2022;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;PNEU 185 R14 VANETTE;1;65;65
;;PNEU 185 R14 VANETTE;1;65;65
;;HUILE CITROL SAE 40 1L;12;4,66;55,92
;;PNEU 185 R14 VANETTE;2;65;130
;;AMORTISSEUR AR L/C V8 S345023;2;25;50
;16/02/2022;AMORTISSEUR AR L/C V8 S345023;2;25;50
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;PNEU 185 R14 VANETTE;2;65;130
;;PNEU 185 R14 VANETTE;1;65;65
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;BATTERIE 50 AMP;1;75;75
;;HUILE CITROL SAE 40 1L;12;4,66;55,92
;;HUILE CITROL SAE 140 5L;12;9,67;116,04
;17/02/2022;POMPE D'AMORSAGE 4C, HC4;1;20;20
;;HUILE CITROL SAE 90 5L;6;9,67;58,02
;;PNEU 185 R14 VANETTE;1;65;65
;;PNEU 185 R14 VANETTE;1;65;65
;;BATTERIE 70 AMP;1;95;95
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;BATTERIE 50 AMP;2;75;150
;;DISQUE D'EMBRAYAGE 5AF;1;12;12
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;18/03/2022;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;5;5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;HUILE CITROL SAE 50 5L;18;9,67;174,06
;;HUILE CITROL SAE 40 5L;12;9,67;116,04
;;HUILE CITROL SAE 40 5L;12;9,67;116,04
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 140 5L;6;9,67;58,02
;;HUILE HYDRAULIC 5L;12;4,84;58,08
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;HUILE CITROL SAE 40 1L;36;3,12;112,32
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;4;22;88
;;BATTERIE 50 AMP;1;75;75
;19/03/2022;HUILE CITROL SAE 140 5L;12;9,67;116,04
;;SEGMENTS TP 5AF;1;50;50
;;FILTRE A HUILE HIACE;1;3;3
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;ROTULE RAV4;2;10;20
;;ROTULE RAV4;2;10;20
;;BOURRAGES VILBREQUIN AR 1RZ;2;5;10
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;HUILE CITROL SAE 140 5L;6;9,67;58,02
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;HUILE CITROL SAE 90 5L;3;9,67;29,01
;;BATTERIE 50 AMP;1;75;75
;;GRAISSE 0.5 KG;1;5;5
;21/03/2022;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;HUILE CITROL SAE 90 5L;6;9,67;58,02
;;HUILE CITROL SAE 90 5L;3;9,67;29,01
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CITROL SAE 90 5L;3;9,67;29,01
;;GRAISSE SEAUX;1;36;36
;;GRAISSE SEAUX;1;36;36
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;22/03/2022;HUILE CITROL SAE 90 5L;48;9,67;464,16
;;FILTRE A HUILE CARTON 38010;1;7,5;7,5
;;PLATEAU 2L/2Y;1;30;30
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;;AMORTISSEUR AV NISSAN TERRANO (23-22);2;30;60
;;POMPE A HUILE 3S;1;80;80
;;HUILE CITROL SAE 140 5L;1;12;12
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PNEU 185/70 R14 ;1;40;40
;;BATTERIE 45 AMP;1;65;65
;;BATTERIE 45 AMP;1;65;65
;;COUSSINETS BIELLE 1RZ 0.25;1;20;20
;;COLLE HERMETIC TUBE;1;4;4
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;23/03/2022;BATTERIE 45 AMP;1;65;65
;;BATTERIE 45 AMP;1;65;65
;;BATTERIE 45 AMP;1;65;65
;;HUILE CITROL SAE 140 5L;6;9,67;58,02
;;SEGMENTS ORG HIACE 1RZ;1;105;105
;;JOINT DE CULASSE 5AF;1;4;4
;;RETIEN D'HUILE 5AF;1;4;4
;;AMORTISSEUR AV L/C AM E3375;2;25;50
;;AMORTISSEUR AV L/C AM E3375;2;25;50
;;BATTERIE 50 AMP;1;75;75
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;BATTERIE 70 AMP;1;95;95
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;23;69
;24/03/2022;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;23;69
;;PNEU 185/70 R14 ;1;40;40
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;4;23;92
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CITROL SAE 90 5L;3;9,67;29,01
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;BATTERIE 45 AMP;1;65;65
;25/03/2022;HUILE CITROL SAE 90 5L;3;9,67;29,01
;;HUILE CITROL SAE 90 5L;3;9,67;29,01
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;HUILE DE FREIN ORDINAIRE;48;0,7;33,6
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A HUILE FUSO ORD;1;15;15
;;FILTRE A HUILE FUSO ORD;1;15;15
;;FILTRE A HUILE FUSO ORD;1;15;15
;26/03/2022;FILTRE A HUILE FUSO ORD;1;15;15
;;SEGMENTS TP 5AF;1;50;50
;;JOINT DE CULASSE 5AF;1;5;5
;;JOINT DE CULASSE 5AF;1;5;5
;;BATTERIE 50 AMP;2;75;150
;;BATTERIE 50 AMP;2;75;150
;;AMORTISSEUR AV IPSUM 33/43/19/20;2;30;60
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;28/03/2022;HUILE CITROL SAE 90 5L;6;9,67;58,02
;;HUILE HYDRAULIC 5L;6;9,67;58,02
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;GRAISSE 0.5 KG;2;2,5;5
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;HUILE CALTEX HAVOLINE 1L;24;2,17;52,08
;;HUILE CALTEX HAVOLINE 1L;24;2,17;52,08
;;CTC RESSORTS L/C;2;3,5;7
;;CTC RESSORTS L/C;2;3,5;7
;29/03/2022;CTC RESSORTS L/C;2;3,5;7
;;HUILE CITROL SAE 40 1L;24;3,12;74,88
;;PNEU 185 R14 VANETTE;2;40;80
;;PNEU 185 R14 VANETTE;2;40;80
;;ROTULE L/C (2 JEUX);2;50;100
;30/03/2022;CHAINES TENDEURS 1TR;1;20;20
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;20;20
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;20;20
;;POMPE D'AMORSAGE L/C 1HZ;1;15;15
;;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;31/03/2022;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;GRAISSE SEAUX;1;35;35
;;PLAQUETTE PROBOX;1;10;10
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;4;23;92
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;4;23;92
;;BATTERIE 50 AMP;1;75;75
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;01/04/2022;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;KIT CYLINDRE EMBRAYAGE L/C;1;20;20
;;KIT CYLINDRE EMBRAYAGE L/C;1;20;20
;;KIT CYLINDRE EMBRAYAGE L/C;1;20;20
;;KIT CYLINDRE EMBRAYAGE L/C;1;20;20
;;KIT CYLINDRE EMBRAYAGE L/C;1;20;20
;;FILTRE A HUILE SUZUKI;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;02/04/2022;BATTERIE 50 AMP;1;75;75
;;HUILE DE FREIN ORDINAIRE;24;0,7;16,8
;;SEGMENTS ORG 3Y;1;100;100
;;SEGMENTS ORG 3Y;1;100;100
;;SEGMENTS ORG 3Y;1;100;100
;;FILTRE A HUILE NISSAN;3;5;15
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CITROL SAE 40 1L;240;3,12;748,8
;;HUILE CITROL SAE 90 5L;2;9,67;19,34
;;POMPE D'AMORSAGE HLX, L/C;1;20;20
;;POMPE D'AMORSAGE HLX, L/C;1;20;20
;;DECANTEUR FILTRE A GASOIL L/C;1;5;5
;;SEGMENTS TP 3Y;1;59;59
;;JOINT DE CULASSE G13;1;9;9
;;JOINT DE CULASSE G13;1;9;9
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;4;23;92
;;PLAQUETTE COROLLA (113K);1;6;6
;;VALVE PNEUS;5;2,5;12,5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;23;69
;04/04/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;23;69
;;COUSSINETS BIELLE 5AF;1;20;20
;;JOINT DE CULASSE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;DISQUE D'EMBRAYAGE 5AF;1;20;20
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;HUILE CITROL SAE 40 1L;12;3,12;37,44
;;BATTERIE 45 AMP;1;65;65
;;COLLE SILICONE TUBE;1;3;3
;;FILTRE A HUILE VANETTE;1;2;2
;;HUILE CALTEX HAVOLINE 1L;1;5;5
;;JOINT DE CULASSE G13;1;10;10
;;COLLE HERMETIC TUBE;1;4;4
;05/04/2022;JOINT DE CULASSE 4G64;1;10;10
;;PNEU 195 R15 HIACE;1;75;75
