code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;COUPELLES D'EMBRAYAGE SUPERIEUR CANTER;1;0;0
;22/12/021;JOINT DE CULASSE 1RZ ORD;1;5;5
;;SYNAMBLOC AV RESSORTS;1;10;10
;;CHAINE TENDEUR 1RZ/2RZ;1;20;20
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;20;20
;;COUSSINETS BIELLE TD42;1;30;30
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;DISQUE D'EMBRAYAGE COROLLA (124);1;12;12
;;RETIEN D'HUILE 1RZ;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;ROTULE AMBOU COROLLA;1;5;5
;;PNEU 185/70 R14 ;2;38;76
;23/12/021;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;JOINT DE CULASSE 1KR-FE(3 PISTON);1;10;10
;;BOITE DE VITESSE HIACE 1RZ/2RZ/3L;1;350;350
;;BATTERIE 50 AMP;1;65;65
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;24/12/021;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;DISQUE D'EMBRAYAGE HLX VIGO;1;30;30
;;SEGMENTS TP 1NZ;1;70;70
;;COLLE SILICONE TUBE;1;2;2
;;COLLE HERMETIC TUBE;2;4;8
;;COLLE SILICONE TUBE;4;2;8
;;COLLE SILICONE TUBE;1;2;2
;;TETE DE TRANSMISSION  PROBOX ;1;14;14
;;BOURRAGES VILBREQUIN AV 1RZ;2;4;8
;;BOURRAGES SEMI-AXE GDS;1;0;0
;;FILTRE A HUILE FUSO 6D22(PAPIER);2;20;40
;;BOURRAGES VILBREQUIN AR 1RZ;2;5;10
;25/12/021;BOURRAGES VILBREQUIN AR 1RZ;2;5;10
;27/12/.021;BATTERIE 50 AMP;1;65;65
;;AMORTISSEUR AR L/C NM;2;25;50
;;AMORTISSEUR AV PROBOX S333258F;2;25;50
;;TIGE STABILISATRICE L/C;1;10;10
;;FILTRE A HUILE HIACE;1;3;3
;;FILTRE A HUILE FUSO ORD;1;15;15
;;FILTRE A HUILE FUSO ORD;1;15;15
;;ESSUIE-GLACE N°18;1;5;5
;;AMORTISSEUR AV HURRIER NB (BYK);2;30;60
;;AMORTISSEUR AR L/C NM E4119;2;25;50
;;COUSSINETS BIELLE TD42;1;30;30
;;COUSSINETS PALIER 1RZ STD;3;20;60
;;COUSSINETS BIELLE 5AF 0.25;1;15;15
;;PLATEAU FUSO 6D17;2;150;300
;;JOINT DE CULASSE 1KR-FE(3 PISTON);1;10;10
;;COLLE HERMETIC TUBE;1;4;4
;28/12/021;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;4;22;88
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;;AMORTISSEUR AR L/C AM E3375;2;20;40
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;22;44
;29/12/021;SEGMENTS TP 5AF;1;60;60
;;JOINT DE CULASSE R/L H20A;1;40;40
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;SYNAMBLOC AV RESSORTS;1;10;10
;;ROTULE CENTRALE RAV4 (394K);2;8;16
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;AMORTISSEUR AV RAV4 AM ;2;25;50
;;COUPELLES D'EMBAYAGE ORG SUPER;2;0;0
;;JOINT DE CULASSE 4Y;1;5;5
;;COLLE SILICONE TUBE;2;2;4
;30/12/021;COUSSINETS BIELLE 1RZ STD;1;15;15
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;PLATEAU COROLLA;1;25;0
;31/12/2021;PLATEAU COROLLA;1;25;0
;;JOINT DE CULASSE 4Y;1;5;5
;;JOINT DE CULASSE 4Y;1;5;5
;;JOINT DE CULASSE 4Y;1;5;5
;;JOINT DE CULASSE 4Y;1;5;5
;;JOINT DE CULASSE 4Y;1;5;5
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;COLLE SILICONE TUBE;1;2;2
;;SUPPORT MOTEUR L/C;1;15;15
;;SUPPORT MOTEUR L/C;1;15;15
;01/03/2021;CONTRE-TONE AR L/C (GRND);2;15;30
;;CONTRE-TONE AR L/C (GRND);2;15;30
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;COLLE SILICONE TUBE;1;2;2
;;COLLE SILICONE TUBE;1;2;2
;;COLLE SILICONE TUBE;1;2;2
;;COLLE SILICONE TUBE;1;2;2
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;3;22;66
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AV PROBOX S333258F;1;25;25
;01/04/2022;AMORTISSEUR AV PROBOX S333258F;1;25;25
;;AMORTISSEUR AV PROBOX S333258F;1;25;25
;;ROTULE SUPERIEURE HIACE;2;10;20
;;FILTRE A HUILE VANETTE;1;3;3
;;JOINT DE CULASSE 3S FE;1;5;5
;;JOINT DE CULASSE 3S FE;1;5;5
;;RETIEN D'HUILE 1TR;1;5;5
;;BATTERIE 70 AMP;1;90;90
;;BATTERIE 70 AMP;1;90;90
;01/05/2022;BATTERIE 70 AMP;1;90;90
;;BATTERIE 70 AMP;1;90;90
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;AMORTISSEUR AR RAV4 NM;2;25;50
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;01/06/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;10;10
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;SEGMENTS TP 5AF;1;60;60
;;RETIEN D'HUILE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;RETIEN D'HUILE 5AF;1;5;5
;;RETIEN D'HUILE 5AF;1;5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;01/07/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;FILTRE A HUILE CANTER;1;10;10
;;JOINT DE CULASSE 5AF;1;5;5
;;FILTRE A AIR NISSAN (ROUGE);1;15;15
;01/08/2022;COLLE SILICONE TUBE;1;15;15
;;COLLE SILICONE TUBE;1;15;15
;;POMPE A HUILE 1RZ;1;100;100
;;CHAINE TENDEUR 1RZ/2RZ;1;20;20
;;COLLE SILICONE TUBE;1;2;2
;;COLLE SILICONE TUBE;1;2;2
;01/10/2022;JOINT DE CULASSE 4Y;1;2;2
;;BOURRAGES VILBREQUIN AR 1RZ;1;5;5
;;BOURRAGES VILBREQUIN AR 1RZ;1;5;5
;;BOURRAGE SEMI-AXE STAUT, DYNA;1;0;0
;;FILTRE A HUILE DYNA (2210);1;10;10
;;HUILE CITROL SAE 50 5L;1;0;0
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;22;44
;;TETE DE TRANSMISSION 23 DENTS;2;12;24
;;PHARE ROND 12V L/C STAUT;2;8;16
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;22;22
;;COLLE SILICONE TUBE;1;2;2
;;BATTERIE 70 AMP;1;90;90
;;SEGMENTS TP 3Y;1;60;60
;;COLLE SILICONE TUBE;1;2;2
;01/11/2022;POMPE A ESSENCE RIKA (GRDS);1;2;2
;;JOINT DE CULASSE 5AF;1;5;5
;;COUSSINETS BIELLE 1RZ 0.25;1;15;15
;;COLLE SILICONE TUBE;1;2;2
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;01/12/2022;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;COUSSINETS PALIER 1RZ 0.25;1;20;20
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;RETIEN D'HUILE 1RZ;1;5;5
;;FILTRE A HUILE VANETTE;1;3;3
;;COLLE SILICONE TUBE;1;2;2
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;13/01/2022;FILTRE A HUILE VANETTE;1;3;3
;;COLLE SILICONE TUBE;1;2;2
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;RETIEN D'HUILE 1TR;1;5;5
;;PHARE ROND 12V L/C STAUT;2;8;16
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;0;0
;14/01/2022;KIT CYLINDRE EMBRAYAGE L/C;1;0;0
;;KIT CYLINDRE EMBRAYAGE L/C;1;0;0
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
